"Brooklyn Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011. ",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,277, ,B1, 265 BAY 13TH   STREET                     ,            ,11214,2,0,2,"2,062","1,860",1940, 1 , B1 ,"$500,000",4/28/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,62, ,B1, 8860 18TH AVENUE                          ,            ,11214,2,0,2,"1,748","1,980",1950, 1 , B1 ,"$577,500",10/20/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,63, ,B1, 8862 18TH   AVENUE                        ,            ,11214,2,0,2,"1,738","1,980",1950, 1 , B1 ,"$565,000",7/1/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,29, ,B1, 232 BAY 20 STREET                         ,            ,11214,2,0,2,"1,983","1,306",1945, 1 , B1 ,"$565,000",2/16/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,51, ,B1, 282 BAY 20TH STREET                       ,            ,11214,2,0,2,"1,600","1,320",1940, 1 , B1 ,"$540,000",10/19/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,55, ,B3, 290 BAY 20TH   STREET                     ,            ,11214,2,0,2,"2,200","1,645",1940, 1 , B3 ,"$515,000",8/1/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,114, ,B1, 285 BAY 20TH STREET                       ,            ,11214,2,0,2,"1,551","1,320",1940, 1 , B1 ,"$558,000",1/18/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,144, ,B2, 8836 19TH AVENUE                          ,            ,11214,2,0,2,"1,933","2,406",1940, 1 , B2 ,$0,4/20/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,144, ,B2, 8836 19TH AVENUE                          ,            ,11214,2,0,2,"1,933","2,406",1940, 1 , B2 ,$0,2/17/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,164, ,B1, 8884 19TH   AVENUE                        ,            ,11214,2,0,2,"1,547","1,320",1940, 1 , B1 ,$0,9/20/2011
